transaction_id,user_id,amount,date_time,merchant,location,payment_type
TXN_10000,User_96,172.18,2026-02-09 11:34:00,Amazon,Kanpur,P2P
TXN_10001,User_60,140.43,2026-02-05 08:04:00,Airtel,Bangalore,P2P
TXN_10002,User_59,338.97,2026-01-13 14:38:00,Petrol_Pump,Pune,P2M
TXN_10003,User_55,75.85,2026-02-02 01:03:00,Netflix,Pune,P2P
TXN_10004,User_70,59.33,2026-03-22 08:28:00,Netflix,Delhi,P2M
TXN_10005,User_37,115.04,2026-02-25 10:37:00,Netflix,Pune,P2M
TXN_10006,User_48,460.87,2026-02-01 16:03:00,Netflix,Pune,P2P
TXN_10007,User_68,9290.18,2026-01-16 17:01:00,Swiggy,Mumbai,P2P
TXN_10008,User_81,30061.99,2026-01-29 04:33:00,Amazon,Delhi,P2M
TXN_10009,User_2,20760.67,2026-02-23 04:50:00,Airtel,Pune,P2P
TXN_10010,User_5,294.9,2026-01-01 16:22:00,Petrol_Pump,Bangalore,P2M
TXN_10011,User_85,481.25,2026-01-29 16:28:00,Zomato,Bangalore,P2P
TXN_10012,User_13,38.51,2026-01-21 03:29:00,Amazon,Bangalore,P2P
TXN_10013,User_33,42133.68,2026-01-31 18:38:00,Airtel,Pune,P2P
TXN_10014,User_97,110.17,2026-03-26 22:09:00,Local_Kirana,Pune,P2M
TXN_10015,User_35,106.59,2026-03-06 11:31:00,Swiggy,Mumbai,P2M
TXN_10016,User_62,276.97,2026-01-23 01:43:00,Petrol_Pump,Bangalore,P2P
TXN_10017,User_52,34950.61,2026-02-14 17:19:00,Airtel,Kanpur,P2P
TXN_10018,User_78,126.17,2026-02-24 09:59:00,Amazon,Bangalore,P2M
TXN_10019,User_70,3471.38,2026-02-07 15:08:00,Petrol_Pump,Mumbai,P2P
TXN_10020,User_64,205.45,2026-03-14 09:13:00,Amazon,Pune,P2P
TXN_10021,User_36,155.09,2026-02-16 06:59:00,Amazon,Bangalore,P2M
TXN_10022,User_63,345.49,2026-03-25 08:15:00,Local_Kirana,Mumbai,P2M
TXN_10023,User_46,47266.68,2026-01-19 22:44:00,Amazon,Mumbai,P2P
